SDT_YY,SDT_MM,SDT_DD,SDT_DY,ARP,ODP,FLO,FLT,AOD,STT,DLY,DLY_RATE,CNT
2019,9,16,월,ARP1,ARP3,L,L1702,A,9:05,,,16
2019,9,16,월,ARP3,ARP1,L,L1702,D,7:55,,,24
2019,9,16,월,ARP1,ARP3,L,L1720,A,14:40,,,29
2019,9,16,월,ARP3,ARP1,L,L1720,D,13:30,,,35
2019,9,16,월,ARP4,ARP3,L,L1808,A,20:10,,,5
2019,9,16,월,ARP3,ARP4,L,L1808,D,19:10,,,28
2019,9,16,월,ARP3,ARP9,J,J1934,A,16:00,,,34
2019,9,16,월,ARP9,ARP3,J,J1934,D,15:00,,,3
2019,9,16,월,ARP3,ARP1,L,L1703,A,8:10,,,32
2019,9,16,월,ARP1,ARP3,L,L1703,D,7:00,,,18
2019,9,16,월,ARP3,ARP4,L,L1809,A,20:35,,,37
2019,9,16,월,ARP4,ARP3,L,L1809,D,19:35,,,4
2019,9,16,월,ARP3,ARP1,L,L1731,A,19:20,,,29
2019,9,16,월,ARP1,ARP3,L,L1731,D,18:10,,,25
2019,9,16,월,ARP9,ARP3,J,J1935,A,14:25,,,3
2019,9,16,월,ARP3,ARP1,L,L1705,A,9:25,,,33
2019,9,16,월,ARP1,ARP3,L,L1705,D,8:15,,,16
2019,9,16,월,ARP1,ARP3,L,L1732,A,21:05,,,20
2019,9,16,월,ARP3,ARP1,L,L1732,D,19:55,,,31
2019,9,16,월,ARP4,ARP3,L,L1810,A,22:10,,,1
2019,9,16,월,ARP3,ARP4,L,L1810,D,21:10,,,37
2019,9,16,월,ARP3,ARP9,J,J1935,D,13:25,,,32
2019,9,16,월,ARP3,ARP6,J,J1954,A,9:25,,,33
2019,9,16,월,ARP6,ARP3,J,J1954,D,8:20,,,3
2019,9,16,월,ARP1,ARP3,L,L1706,A,9:55,,,25
2019,9,16,월,ARP3,ARP1,L,L1706,D,8:45,,,38
2019,9,16,월,ARP3,ARP1,L,L1733,A,19:35,,,30
2019,9,16,월,ARP1,ARP3,L,L1733,D,18:25,,,26
2019,9,16,월,ARP3,ARP8,L,L1901,A,10:25,,,31
2019,9,16,월,ARP8,ARP3,L,L1901,D,9:30,,,4
2019,9,16,월,ARP6,ARP3,J,J1955,A,11:10,,,6
2019,9,16,월,ARP3,ARP1,L,L1707,A,10:55,,,28
2019,9,16,월,ARP1,ARP3,L,L1707,D,9:45,,,20
2019,9,16,월,ARP1,ARP3,L,L1734,A,21:40,,,20
2019,9,16,월,ARP3,ARP1,L,L1734,D,20:30,,,34
2019,9,16,월,ARP8,ARP3,L,L1902,A,8:55,,,1
2019,9,16,월,ARP3,ARP8,L,L1902,D,8:05,,,30
2019,9,16,월,ARP3,ARP6,J,J1955,D,10:05,,,32
2019,9,16,월,ARP1,ARP3,L,L1708,A,11:10,,,20
2019,9,16,월,ARP3,ARP1,L,L1708,D,10:00,,,31
2019,9,16,월,ARP3,ARP1,L,L1735,A,20:00,,,34
2019,9,16,월,ARP1,ARP3,L,L1735,D,18:50,,,33
2019,9,16,월,ARP3,ARP8,L,L1903,A,12:55,,,28
2019,9,16,월,ARP8,ARP3,L,L1903,D,12:10,,,4
2019,9,16,월,ARP3,ARP6,J,J1956,A,15:20,,,33
2019,9,16,월,ARP6,ARP3,J,J1956,D,14:15,,,2
2019,9,16,월,ARP1,ARP3,L,L1736,A,22:15,,,17
2019,9,16,월,ARP3,ARP1,L,L1736,D,21:05,,,34
2019,9,16,월,ARP8,ARP3,L,L1904,A,11:40,,,3
2019,9,16,월,ARP3,ARP8,L,L1904,D,10:50,,,29
2019,9,16,월,ARP6,ARP3,J,J1957,A,13:35,,,2
2019,9,16,월,ARP3,ARP6,J,J1957,D,12:30,,,29
2019,9,16,월,ARP1,ARP3,L,L1710,A,12:15,,,19
2019,9,16,월,ARP3,ARP1,L,L1710,D,11:05,,,30
2019,9,16,월,ARP3,ARP4,L,L1801,A,7:20,,,10
2019,9,16,월,ARP4,ARP3,L,L1801,D,6:20,,,1
2019,9,16,월,ARP1,ARP3,L,L1712,A,12:45,,,21
2019,9,16,월,ARP3,ARP1,L,L1712,D,11:35,,,30
2019,9,16,월,ARP1,ARP3,L,L1722,A,16:15,,,25
2019,9,16,월,ARP3,ARP1,L,L1722,D,15:05,,,31
2019,9,16,월,ARP4,ARP3,L,L1802,A,9:25,,,5
2019,9,16,월,ARP3,ARP4,L,L1802,D,8:25,,,32
2019,9,16,월,ARP3,ARP8,L,L1905,A,17:15,,,36
2019,9,16,월,ARP8,ARP3,L,L1905,D,16:30,,,3
2019,9,16,월,ARP6,ARP3,J,J1959,A,16:40,,,4
2019,9,16,월,ARP3,ARP6,J,J1959,D,15:30,,,32
2019,9,16,월,ARP3,ARP1,L,L1713,A,12:55,,,28
2019,9,16,월,ARP1,ARP3,L,L1713,D,11:45,,,20
2019,9,16,월,ARP3,ARP1,L,L1723,A,15:45,,,33
2019,9,16,월,ARP3,ARP4,L,L1803,A,9:55,,,30
2019,9,16,월,ARP4,ARP3,L,L1803,D,8:55,,,4
2019,9,16,월,ARP8,ARP3,L,L1906,A,15:55,,,1
2019,9,16,월,ARP3,ARP8,L,L1906,D,15:05,,,31
2019,9,16,월,ARP3,ARP6,J,J1960,A,18:25,,,32
2019,9,16,월,ARP1,ARP3,L,L1723,D,14:35,,,26
2019,9,16,월,ARP4,ARP3,L,L1804,A,15:50,,,2
2019,9,16,월,ARP3,ARP4,L,L1804,D,14:45,,,28
2019,9,16,월,ARP3,ARP7,L,L1931,A,7:30,,,15
2019,9,16,월,ARP7,ARP3,L,L1931,D,6:40,,,2
2019,9,16,월,ARP6,ARP3,J,J1960,D,17:20,,,6
2019,9,16,월,ARP3,ARP1,L,L1715,A,14:00,,,33
2019,9,16,월,ARP1,ARP3,L,L1715,D,12:50,,,22
2019,9,16,월,ARP3,ARP1,L,L1725,A,16:25,,,33
2019,9,16,월,ARP1,ARP3,L,L1725,D,15:15,,,29
2019,9,16,월,ARP7,ARP3,L,L1932,A,19:00,,,1
2019,9,16,월,ARP3,ARP7,L,L1932,D,18:10,,,36
2019,9,16,월,ARP3,ARP10,M,M1361,A,11:25,,,31
2019,9,16,월,ARP10,ARP3,M,M1361,D,9:50,,,1
2019,9,16,월,ARP1,ARP3,L,L1726,A,17:30,,,22
2019,9,16,월,ARP3,ARP1,L,L1726,D,16:20,,,29
2019,9,16,월,ARP3,ARP4,L,L1805,A,11:05,,,30
2019,9,16,월,ARP4,ARP3,L,L1805,D,10:05,,,4
2019,9,16,월,ARP3,ARP10,M,M1363,A,18:10,,,36
2019,9,16,월,ARP10,ARP3,M,M1363,D,16:50,,,2
2019,9,16,월,ARP3,ARP1,L,L1717,A,14:30,,,33
2019,9,16,월,ARP1,ARP3,L,L1717,D,13:20,,,25
2019,9,16,월,ARP3,ARP1,L,L1727,A,18:35,,,33
2019,9,16,월,ARP1,ARP3,L,L1727,D,17:25,,,19
2019,9,16,월,ARP4,ARP3,L,L1806,A,19:05,,,3
2019,9,16,월,ARP3,ARP4,L,L1806,D,18:05,,,36
2019,9,16,월,ARP3,ARP1,L,L1701,A,7:50,,,19
2019,9,16,월,ARP1,ARP3,L,L1701,D,6:40,,,11
2019,9,16,월,ARP1,ARP3,L,L1718,A,13:55,,,24
2019,9,16,월,ARP3,ARP1,L,L1718,D,12:45,,,29
2019,9,16,월,ARP1,ARP3,L,L1728,A,18:15,,,24
2019,9,16,월,ARP3,ARP1,L,L1728,D,17:05,,,33
2019,9,16,월,ARP3,ARP4,L,L1807,A,17:30,,,36
2019,9,16,월,ARP4,ARP3,L,L1807,D,16:25,,,5
2019,9,16,월,ARP1,ARP4,B,B1850,A,21:00,,,20
2019,9,16,월,ARP4,ARP1,B,B1850,D,20:05,,,5
2019,9,16,월,ARP1,ARP5,J,J1607,A,13:10,,,21
2019,9,16,월,ARP5,ARP1,J,J1607,D,12:10,,,3
2019,9,16,월,ARP5,ARP1,J,J1608,A,14:50,,,1
2019,9,16,월,ARP1,ARP5,J,J1608,D,13:50,,,24
2019,9,16,월,ARP8,ARP1,A,A1703,A,10:30,,,7
2019,9,16,월,ARP1,ARP8,A,A1703,D,9:35,,,18
2019,9,16,월,ARP9,ARP1,J,J1334,A,9:40,,,1
2019,9,16,월,ARP1,ARP9,J,J1334,D,8:40,,,16
2019,9,16,월,ARP1,ARP5,J,J1609,A,16:30,,,23
2019,9,16,월,ARP5,ARP1,J,J1609,D,15:30,,,3
2019,9,16,월,ARP5,ARP1,J,J1610,A,18:10,,,1
2019,9,16,월,ARP1,ARP5,J,J1610,D,17:10,,,21
2019,9,16,월,ARP1,ARP8,A,A1704,A,11:55,,,24
2019,9,16,월,ARP8,ARP1,A,A1704,D,11:00,,,5
2019,9,16,월,ARP1,ARP5,J,J1611,A,19:50,,,26
2019,9,16,월,ARP5,ARP1,J,J1611,D,18:50,,,2
2019,9,16,월,ARP8,ARP1,A,A1707,A,16:50,,,5
2019,9,16,월,ARP1,ARP8,A,A1707,D,16:00,,,28
2019,9,16,월,ARP1,ARP8,A,A1708,A,18:10,,,25
2019,9,16,월,ARP8,ARP1,A,A1708,D,17:20,,,4
2019,9,16,월,ARP9,ARP1,J,J1336,A,18:10,,,3
2019,9,16,월,ARP1,ARP9,J,J1336,D,17:10,,,21
2019,9,16,월,ARP5,ARP1,J,J1612,A,21:05,,,1
2019,9,16,월,ARP1,ARP5,J,J1612,D,20:05,,,22
2019,9,16,월,ARP9,ARP1,A,A1733,A,13:30,,,1
2019,9,16,월,ARP1,ARP9,A,A1733,D,12:35,,,19
2019,9,16,월,ARP1,ARP9,J,J1337,A,19:50,,,26
2019,9,16,월,ARP9,ARP1,J,J1337,D,18:50,,,3
2019,9,16,월,ARP12,ARP1,J,J1634,A,7:50,,,1
2019,9,16,월,ARP1,ARP12,J,J1634,D,6:50,,,14
2019,9,16,월,ARP1,ARP12,J,J1635,A,9:25,,,16
2019,9,16,월,ARP12,ARP1,J,J1635,D,8:25,,,2
2019,9,16,월,ARP1,ARP9,A,A1734,A,15:00,,,31
2019,9,16,월,ARP9,ARP1,A,A1734,D,14:05,,,2
2019,9,16,월,ARP5,ARP1,B,B1891,A,8:10,,,1
2019,9,16,월,ARP1,ARP5,B,B1891,D,7:10,,,18
2019,9,16,월,ARP12,ARP1,J,J1636,A,19:30,,,1
2019,9,16,월,ARP1,ARP12,J,J1636,D,18:30,,,30
2019,9,16,월,ARP9,ARP1,A,A1735,A,17:15,,,1
2019,9,16,월,ARP1,ARP9,A,A1735,D,16:20,,,25
2019,9,16,월,ARP1,ARP5,B,B1892,A,13:35,,,24
2019,9,16,월,ARP5,ARP1,B,B1892,D,12:35,,,3
2019,9,16,월,ARP1,ARP9,A,A1736,A,18:45,,,30
2019,9,16,월,ARP9,ARP1,A,A1736,D,17:50,,,2
2019,9,16,월,ARP11,ARP1,J,J1538,A,16:45,,,1
2019,9,16,월,ARP1,ARP11,J,J1538,D,15:50,,,26
2019,9,16,월,ARP1,ARP12,J,J1637,A,21:05,,,20
2019,9,16,월,ARP12,ARP1,J,J1637,D,20:05,,,2
2019,9,16,월,ARP5,ARP1,B,B1893,A,15:15,,,2
2019,9,16,월,ARP1,ARP5,B,B1893,D,14:15,,,25
2019,9,16,월,ARP1,ARP11,J,J1539,A,18:20,,,26
2019,9,16,월,ARP11,ARP1,J,J1539,D,17:25,,,2
2019,9,16,월,ARP1,ARP5,B,B1894,A,21:00,,,20
2019,9,16,월,ARP5,ARP1,B,B1894,D,20:00,,,1
2019,9,16,월,ARP1,ARP5,J,J1605,A,9:50,,,23
2019,9,16,월,ARP5,ARP1,J,J1605,D,8:50,,,3
2019,9,16,월,ARP5,ARP1,J,J1606,A,11:30,,,1
2019,9,16,월,ARP1,ARP5,J,J1606,D,10:30,,,23
2019,9,16,월,ARP2,ARP15,A,A1533,A,7:30,,,9
2019,9,16,월,ARP15,ARP2,A,A1533,D,6:30,,,1
2019,9,16,월,ARP1,ARP2,B,B1800,A,7:55,,,15
2019,9,16,월,ARP2,ARP1,B,B1800,D,7:00,,,5
2019,9,16,월,ARP1,ARP2,B,B1816,A,15:55,,,30
2019,9,16,월,ARP2,ARP1,B,B1816,D,15:00,,,14
2019,9,16,월,ARP2,ARP1,B,B1829,A,21:35,,,8
2019,9,16,월,ARP1,ARP2,B,B1829,D,20:30,,,20
2019,9,16,월,ARP2,ARP1,J,J1108,A,10:05,,,10
2019,9,16,월,ARP1,ARP2,J,J1108,D,9:00,,,17
2019,9,16,월,ARP2,ARP1,J,J1114,A,13:05,,,8
2019,9,16,월,ARP1,ARP2,J,J1114,D,12:00,,,23
2019,9,16,월,ARP1,ARP2,J,J1127,A,20:40,,,19
2019,9,16,월,ARP2,ARP1,J,J1127,D,19:40,,,13
2019,9,16,월,ARP15,ARP2,J,J1411,A,17:40,,,3
2019,9,16,월,ARP2,ARP15,J,J1411,D,16:30,,,8
2019,9,16,월,ARP1,ARP2,B,B1802,A,8:55,,,16
2019,9,16,월,ARP2,ARP1,B,B1802,D,8:00,,,12
2019,9,16,월,ARP2,ARP1,B,B1817,A,15:25,,,12
2019,9,16,월,ARP1,ARP2,B,B1817,D,14:30,,,24
2019,9,16,월,ARP1,ARP2,J,J1109,A,11:40,,,22
2019,9,16,월,ARP1,ARP2,J,J1115,A,14:40,,,29
2019,9,16,월,ARP2,ARP1,J,J1115,D,13:40,,,8
2019,9,16,월,ARP2,ARP1,J,J1128,A,20:05,,,12
2019,9,16,월,ARP1,ARP2,J,J1128,D,19:00,,,34
2019,9,16,월,ARP2,ARP10,M,M1351,A,14:30,,,12
2019,9,16,월,ARP10,ARP2,M,M1351,D,13:40,,,1
2019,9,16,월,ARP2,ARP1,J,J1116,A,14:05,,,11
2019,9,16,월,ARP1,ARP2,J,J1116,D,13:00,,,20
2019,9,16,월,ARP10,ARP2,M,M1352,A,16:05,,,1
2019,9,16,월,ARP2,ARP10,M,M1352,D,15:05,,,13
2019,9,16,월,ARP15,ARP2,A,A1534,A,17:00,,,1
2019,9,16,월,ARP2,ARP15,A,A1534,D,16:05,,,9
2019,9,16,월,ARP2,ARP1,B,B1803,A,8:25,,,8
2019,9,16,월,ARP1,ARP2,B,B1803,D,7:30,,,15
2019,9,16,월,ARP1,ARP2,B,B1818,A,16:55,,,22
2019,9,16,월,ARP2,ARP1,B,B1818,D,16:00,,,10
2019,9,16,월,ARP1,ARP2,B,B1804,A,9:55,,,25
2019,9,16,월,ARP2,ARP1,B,B1804,D,9:00,,,6
2019,9,16,월,ARP2,ARP1,B,B1819,A,16:25,,,8
2019,9,16,월,ARP1,ARP2,B,B1819,D,15:30,,,30
2019,9,16,월,ARP1,ARP2,J,J1117,A,15:40,,,29
2019,9,16,월,ARP2,ARP1,J,J1117,D,14:40,,,13
2019,9,16,월,ARP2,ARP1,B,B1805,A,9:25,,,6
2019,9,16,월,ARP1,ARP2,B,B1805,D,8:30,,,16
2019,9,16,월,ARP1,ARP2,B,B1820,A,17:55,,,21
2019,9,16,월,ARP2,ARP1,B,B1820,D,17:00,,,10
2019,9,16,월,ARP2,ARP1,J,J1118,A,15:05,,,13
2019,9,16,월,ARP1,ARP2,J,J1118,D,14:00,,,26
2019,9,16,월,ARP1,ARP2,B,B1806,A,10:55,,,20
2019,9,16,월,ARP2,ARP1,B,B1806,D,10:00,,,10
2019,9,16,월,ARP2,ARP1,B,B1821,A,17:25,,,10
2019,9,16,월,ARP1,ARP2,B,B1821,D,16:30,,,23
2019,9,16,월,ARP1,ARP2,J,J1119,A,16:40,,,24
2019,9,16,월,ARP2,ARP1,J,J1119,D,15:40,,,10
2019,9,16,월,ARP1,ARP2,J,J1129,A,21:40,,,20
2019,9,16,월,ARP2,ARP1,J,J1129,D,20:40,,,10
2019,9,16,월,ARP2,ARP1,J,J1130,A,21:05,,,12
2019,9,16,월,ARP1,ARP2,J,J1130,D,20:00,,,24
